   Run Number          Y_Requested       Y_Moved           X_Requested      X_Moved      Average_Intensity_M4    Average_Intensity_M1        
      4324            -12661            -12661            -12642            -12642        -0.2937742911        -1.801868386
      4325            -12661            -12661            -14217            -14217        -0.2950176833        -1.815831212
      4326            -12661            -12661            -15792            -15792        -0.2941124319        -1.806331707
      4327            -12661            -12661            -17367            -17367        -0.2942261529        -1.807174195
      4328            -12661            -12661            -18942            -18942        -0.302090794        -1.821942609
      4329            -12661            -12661            -20517            -20517        -0.3017845172        -1.820799629
      4330            -12661            -12661            -22092            -22092        -0.2579270079        -1.804983494
      4331            -12661            -12661            -23667            -23667        -0.1408027322        -1.810458503
      4332            -12661            -12661            -25242            -25242        -0.04507783321        -1.820354265
      4333            -12661            -12661            -26817            -26817        -0.009546458434        -1.813563728
      4334            -12661            -12661            -28392            -28392        -0.008345890845        -1.812141565
      4335            -14236            -14236             -3192             -3192        -0.009046743121        -1.822385646
      4336            -14236            -14236             -4767             -4767        -0.01423927822        -1.819762302
      4337            -14236            -14236             -6342             -6342        -0.05175000876        -1.807037608
      4338            -14236            -14236             -7917             -7917        -0.1457560706        -1.821216403
      4339            -14236            -14236             -9492             -9492        -0.2560208011        -1.820964239
      4340            -14236            -14236            -11067            -11067        -0.3032748786        -1.817408578
      4341            -14236            -14236            -12642            -12642        -0.3041108349        -1.81272595
      4342            -14236            -14236            -14217            -14217        -0.305121227        -1.816776092
      4343            -14236            -14236            -15792            -15792        -0.3038088946        -1.80452926
      4344            -14236            -14236            -17367            -17367        -0.3030325238        -1.803336142
      4345            -14236            -14236            -18942            -18942        -0.3102888093        -1.816237328
      4346            -14236            -14236            -20517            -20517        -0.3115784624        -1.816406405
      4347            -14236            -14236            -22092            -22092        -0.2714964626        -1.820239174
      4348            -14236            -14236            -23667            -23667        -0.1476799768        -1.820644227
      4349            -14236            -14236            -25242            -25242        -0.04719621632        -1.813050367
      4350            -14236            -14236            -26817            -26817        -0.009856253454        -1.807703408
      4351            -14236            -14236            -28392            -28392        -0.008419702441        -1.818914675
      4352            -15811            -15811             -3192             -3192        -0.009098267875        -1.818688664
      4353            -15811            -15811             -4767             -4767        -0.01481495136        -1.818353915
      4354            -15811            -15811             -6342             -6342        -0.05360483613        -1.821232319
      4355            -15811            -15811             -7917             -7917        -0.146121168        -1.812648666
      4356            -15811            -15811             -9492             -9492        -0.2577985228        -1.812170637
      4357            -15811            -15811            -11067            -11067        -0.3053248754        -1.8103428
      4358            -15811            -15811            -12642            -12642        -0.308755254        -1.81394512
      4359            -15811            -15811            -14217            -14217        -0.312049554        -1.820047498
      4360            -15811            -15811            -15792            -15792        -0.311262994        -1.811107184
      4361            -15811            -15811            -17367            -17367        -0.3098488116        -1.809763181
      4362            -15811            -15811            -18942            -18942        -0.3157487105        -1.815698885
      4363            -15811            -15811            -20517            -20517        -0.3188857414        -1.816307064
      4364            -15811            -15811            -22092            -22092        -0.2792152983        -1.818240498
      4365            -15811            -15811            -23667            -23667        -0.152922804        -1.826749084
      4366            -15811            -15811            -25242            -25242        -0.0489671749        -1.816359118
      4367            -15811            -15811            -26817            -26817        -0.01011022186        -1.7957917
      4368            -15811            -15811            -28392            -28392        -0.008428097879        -1.813258371
