Date & Time               Run Number
2014-12-16-13-59-34          4199
2014-12-16-13-59-51          4200
2014-12-16-14-00-07          4201
2014-12-16-14-00-24          4202
2014-12-16-14-00-41          4203
2014-12-16-14-00-57          4204
2014-12-16-14-01-14          4205
2014-12-16-14-01-31          4206
2014-12-16-14-02-07          4207
2014-12-16-14-02-23          4208
2014-12-16-14-02-40          4209
2014-12-16-14-02-56          4210
2014-12-16-14-03-13          4211
2014-12-16-14-03-30          4212
2014-12-16-14-03-46          4213
2014-12-16-14-04-03          4214
2014-12-16-15-17-53          4215
2014-12-16-15-30-59          4216
2014-12-16-15-31-15          4217
2014-12-16-15-31-32          4218
2014-12-16-15-31-49          4219
2014-12-16-15-32-05          4220
2014-12-16-15-32-22          4221
2014-12-16-15-32-38          4222
2014-12-16-15-32-55          4223
2014-12-16-15-33-12          4224
2014-12-16-15-33-28          4225
2014-12-16-15-33-45          4226
2014-12-16-15-34-02          4227
2014-12-16-15-34-18          4228
2014-12-16-15-34-35          4229
2014-12-16-15-34-51          4230
2014-12-16-15-35-08          4231
2014-12-16-15-35-25          4232
2014-12-16-15-40-45          4233
2014-12-16-15-41-02          4234
2014-12-16-15-41-18          4235
2014-12-16-15-41-35          4236
2014-12-16-15-41-52          4237
2014-12-16-15-42-08          4238
2014-12-16-15-42-25          4239
2014-12-16-15-42-41          4240
2014-12-16-15-42-58          4241
2014-12-16-15-43-15          4242
2014-12-16-15-43-31          4243
2014-12-16-15-43-48          4244
2014-12-16-15-44-04          4245
2014-12-16-15-44-21          4246
2014-12-16-15-44-37          4247
2014-12-16-15-44-54          4248
2014-12-16-15-45-11          4249
2014-12-16-15-45-46          4250
2014-12-16-15-46-03          4251
2014-12-16-15-46-19          4252
2014-12-16-15-46-36          4253
2014-12-16-15-46-53          4254
2014-12-16-15-47-09          4255
2014-12-16-15-47-26          4256
2014-12-16-15-47-43          4257
2014-12-16-15-47-59          4258
2014-12-16-15-48-16          4259
2014-12-16-15-48-32          4260
2014-12-16-15-48-49          4261
2014-12-16-15-49-06          4262
2014-12-16-15-49-22          4263
2014-12-16-15-49-39          4264
2014-12-16-15-49-55          4265
2014-12-16-15-50-12          4266
2014-12-16-15-50-48          4267
2014-12-16-15-51-05          4268
2014-12-16-15-51-21          4269
2014-12-16-15-51-38          4270
2014-12-16-15-51-55          4271
2014-12-16-15-52-11          4272
2014-12-16-15-52-28          4273
2014-12-16-15-52-45          4274
2014-12-16-15-53-01          4275
2014-12-16-15-53-18          4276
2014-12-16-15-53-34          4277
2014-12-16-15-53-51          4278
2014-12-16-15-54-07          4279
2014-12-16-15-54-24          4280
2014-12-16-15-54-41          4281
2014-12-16-15-54-57          4282
2014-12-16-15-55-14          4283
2014-12-16-15-55-50          4284
2014-12-16-15-56-07          4285
2014-12-16-15-56-23          4286
2014-12-16-15-56-40          4287
2014-12-16-15-56-56          4288
2014-12-16-15-57-13          4289
2014-12-16-15-57-29          4290
2014-12-16-15-57-46          4291
2014-12-16-15-58-03          4292
2014-12-16-15-58-20          4293
2014-12-16-15-58-36          4294
2014-12-16-15-58-53          4295
2014-12-16-15-59-10          4296
2014-12-16-15-59-26          4297
2014-12-16-15-59-43          4298
2014-12-16-15-59-59          4299
2014-12-16-16-00-16          4300
2014-12-16-16-00-52          4301
2014-12-16-16-01-08          4302
2014-12-16-16-01-25          4303
2014-12-16-16-01-41          4304
2014-12-16-16-01-58          4305
2014-12-16-16-02-14          4306
2014-12-16-16-02-31          4307
2014-12-16-16-02-48          4308
2014-12-16-16-03-05          4309
2014-12-16-16-03-21          4310
2014-12-16-16-03-38          4311
2014-12-16-16-03-55          4312
2014-12-16-16-04-11          4313
2014-12-16-16-04-28          4314
2014-12-16-16-04-45          4315
2014-12-16-16-05-02          4316
2014-12-16-16-05-18          4317
2014-12-16-16-05-54          4318
2014-12-16-16-06-10          4319
2014-12-16-16-06-27          4320
2014-12-16-16-06-44          4321
2014-12-16-16-07-00          4322
2014-12-16-16-07-17          4323
2014-12-16-16-07-34          4324
2014-12-16-16-07-51          4325
2014-12-16-16-08-07          4326
2014-12-16-16-08-24          4327
2014-12-16-16-08-40          4328
2014-12-16-16-08-57          4329
2014-12-16-16-09-14          4330
2014-12-16-16-09-30          4331
2014-12-16-16-09-47          4332
2014-12-16-16-10-04          4333
2014-12-16-16-10-20          4334
2014-12-16-16-10-56          4335
2014-12-16-16-11-12          4336
2014-12-16-16-11-29          4337
2014-12-16-16-11-46          4338
2014-12-16-16-12-02          4339
2014-12-16-16-12-19          4340
2014-12-16-16-12-36          4341
2014-12-16-16-12-52          4342
2014-12-16-16-13-09          4343
2014-12-16-16-13-26          4344
2014-12-16-16-13-42          4345
2014-12-16-16-13-59          4346
2014-12-16-16-14-16          4347
2014-12-16-16-14-32          4348
2014-12-16-16-14-49          4349
2014-12-16-16-15-06          4350
2014-12-16-16-15-22          4351
2014-12-16-16-15-58          4352
2014-12-16-16-16-14          4353
2014-12-16-16-16-31          4354
2014-12-16-16-16-48          4355
2014-12-16-16-17-04          4356
2014-12-16-16-17-21          4357
2014-12-16-16-17-37          4358
2014-12-16-16-17-54          4359
2014-12-16-16-18-10          4360
2014-12-16-16-18-27          4361
2014-12-16-16-18-44          4362
2014-12-16-16-19-01          4363
2014-12-16-16-19-17          4364
2014-12-16-16-19-34          4365
2014-12-16-16-19-51          4366
2014-12-16-16-20-07          4367
2014-12-16-16-20-24          4368
2014-12-16-16-21-00          4369
2014-12-16-16-21-16          4370
2014-12-16-16-21-33          4371
2014-12-16-16-21-50          4372
2014-12-16-16-22-06          4373
2014-12-16-16-22-23          4374
2014-12-16-16-22-39          4375
2014-12-16-16-22-56          4376
2014-12-16-16-23-12          4377
2014-12-16-16-23-29          4378
2014-12-16-16-23-46          4379
2014-12-16-16-24-02          4380
2014-12-16-16-24-19          4381
2014-12-16-16-24-36          4382
2014-12-16-16-24-52          4383
2014-12-16-16-25-09          4384
2014-12-16-16-25-26          4385
2014-12-16-16-26-01          4386
2014-12-16-16-26-18          4387
2014-12-16-16-26-34          4388
2014-12-16-16-26-51          4389
2014-12-16-16-27-07          4390
2014-12-16-16-27-24          4391
2014-12-16-16-27-41          4392
2014-12-16-16-27-58          4393
2014-12-16-16-28-14          4394
2014-12-16-16-28-31          4395
2014-12-16-16-28-47          4396
2014-12-16-16-29-04          4397
2014-12-16-16-29-21          4398
2014-12-16-16-29-37          4399
2014-12-16-16-29-54          4400
2014-12-16-16-30-11          4401
2014-12-16-16-30-27          4402
2014-12-16-16-31-03          4403
2014-12-16-16-31-20          4404
2014-12-16-16-31-36          4405
2014-12-16-16-31-53          4406
2014-12-16-16-32-09          4407
2014-12-16-16-32-26          4408
2014-12-16-16-32-43          4409
2014-12-16-16-32-59          4410
2014-12-16-16-33-16          4411
2014-12-16-16-33-33          4412
2014-12-16-16-33-49          4413
2014-12-16-16-34-06          4414
2014-12-16-16-34-22          4415
2014-12-16-16-34-39          4416
2014-12-16-16-34-55          4417
2014-12-16-16-35-12          4418
2014-12-16-16-35-29          4419
2014-12-16-16-36-04          4420
2014-12-16-16-36-21          4421
2014-12-16-16-36-38          4422
